rownum,utt_len,uID,langtype,corpus,file,name,role,age,sex,group,SES,Y,M,D,agemonth,who,Target,Repetition,w,mw_stem,pos_c,t_type
14010,1,u149,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,pateek,pateek,bab,p
14011,4,u150,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what I want you,what I want you,pro pro v pro,interruption
14012,1,u151,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,pateek,pateek,bab,p
14013,1,u152,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,pateekos,pateekos,bab,p
14014,3,u153,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,you like Spaghettios,you like Spaghettios,pro v n,p
14015,3,u154,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,going get up,go get up,part v adv,p
14016,4,u155,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,I'm going get up,I;be go get up,pro;aux part v adv,p
14017,1,u156,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,here,here,adv,p
14018,3,u157,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,I'm going dup,I;be go dup,pro;aux part chi,p
14019,1,u158,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,here,here,adv,p
14020,1,u159,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,o,oh,co,p
14021,3,u160,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's Nomi do,what;be Nomi do,pro;aux n v,q
14022,1,u161,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,hard,hard,adv,p
14023,8,u162,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,it's hard to walk on there isn't it,it;be hard to walk on there be;not it,pro;cop adj inf v prep adv cop;neg pro,q
14024,3,u163,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,I'm going get,I;be go get,pro;aux part v,p
14025,1,u164,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,here,here,adv,p
14026,1,u165,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,o,oh,co,p
